## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[./testdata/out/sorted//ERR1429150-chr16.sorted.bam] OUTPUT=./testdata/out/mdup/ERR1429150-chr16.sorted.mdup.bam METRICS_FILE=./testdata/out/metrics/mdup/ERR1429150-chr16.sorted.mdup.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:09 PST 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	324	50320	0	344	190	29477	0	0.585793	23665

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999972	10100	10100
2.0	1.119241	4895	4895
3.0	1.133467	2474	2474
4.0	1.135163	1122	1122
5.0	1.135366	591	591
6.0	1.13539	322	322
7.0	1.135393	282	282
8.0	1.135393	198	198
9.0	1.135393	176	176
10.0	1.135393	161	161
11.0	1.135393	139	139
12.0	1.135393	115	115
13.0	1.135393	82	82
14.0	1.135393	64	64
15.0	1.135393	50	50
16.0	1.135393	31	31
17.0	1.135393	17	17
18.0	1.135393	11	11
19.0	1.135393	5	5
20.0	1.135393	2	2
21.0	1.135393	2	2
22.0	1.135393	1	1
23.0	1.135393	0	0
24.0	1.135393	1	1
25.0	1.135393	0	0
26.0	1.135393	1	1
27.0	1.135393	0	0
28.0	1.135393	1	1
29.0	1.135393	0	0
30.0	1.135393	0	0
31.0	1.135393	0	0
32.0	1.135393	0	0
33.0	1.135393	0	0
34.0	1.135393	0	0
35.0	1.135393	0	0
36.0	1.135393	0	0
37.0	1.135393	0	0
38.0	1.135393	0	0
39.0	1.135393	0	0
40.0	1.135393	0	0
41.0	1.135393	0	0
42.0	1.135393	0	0
43.0	1.135393	0	0
44.0	1.135393	0	0
45.0	1.135393	0	0
46.0	1.135393	0	0
47.0	1.135393	0	0
48.0	1.135393	0	0
49.0	1.135393	0	0
50.0	1.135393	0	0
51.0	1.135393	0	0
52.0	1.135393	0	0
53.0	1.135393	0	0
54.0	1.135393	0	0
55.0	1.135393	0	0
56.0	1.135393	0	0
57.0	1.135393	0	0
58.0	1.135393	0	0
59.0	1.135393	0	0
60.0	1.135393	0	0
61.0	1.135393	0	0
62.0	1.135393	0	0
63.0	1.135393	0	0
64.0	1.135393	0	0
65.0	1.135393	0	0
66.0	1.135393	0	0
67.0	1.135393	0	0
68.0	1.135393	0	0
69.0	1.135393	0	0
70.0	1.135393	0	0
71.0	1.135393	0	0
72.0	1.135393	0	0
73.0	1.135393	0	0
74.0	1.135393	0	0
75.0	1.135393	0	0
76.0	1.135393	0	0
77.0	1.135393	0	0
78.0	1.135393	0	0
79.0	1.135393	0	0
80.0	1.135393	0	0
81.0	1.135393	0	0
82.0	1.135393	0	0
83.0	1.135393	0	0
84.0	1.135393	0	0
85.0	1.135393	0	0
86.0	1.135393	0	0
87.0	1.135393	0	0
88.0	1.135393	0	0
89.0	1.135393	0	0
90.0	1.135393	0	0
91.0	1.135393	0	0
92.0	1.135393	0	0
93.0	1.135393	0	0
94.0	1.135393	0	0
95.0	1.135393	0	0
96.0	1.135393	0	0
97.0	1.135393	0	0
98.0	1.135393	0	0
99.0	1.135393	0	0
100.0	1.135393	0	0

