## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429134-chr16.sorted.mdup.insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=./testdata/out/mdup/ERR1429134-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectInsertSizeMetrics/ERR1429134-chr16.sorted.mdup.colinsert.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:37:41 PST 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
188	165	37	96	499	230.85426	91.989349	14670	FR	13	27	41	55	75	111	209	307	373	419	505			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
96	1
101	4
102	12
103	15
104	17
105	11
106	11
107	14
108	12
109	18
110	21
111	26
112	10
113	16
114	24
115	25
116	23
117	27
118	18
119	36
120	29
121	27
122	32
123	34
124	53
125	39
126	45
127	43
128	47
129	43
130	56
131	50
132	53
133	65
134	56
135	58
136	63
137	57
138	53
139	64
140	65
141	66
142	50
143	52
144	56
145	70
146	70
147	82
148	79
149	77
150	90
151	98
152	128
153	113
154	129
155	141
156	118
157	132
158	144
159	154
160	143
161	149
162	135
163	142
164	165
165	171
166	170
167	170
168	157
169	147
170	158
171	155
172	153
173	148
174	161
175	167
176	154
177	132
178	150
179	136
180	134
181	136
182	157
183	127
184	117
185	119
186	127
187	125
188	113
189	120
190	90
191	109
192	103
193	100
194	82
195	106
196	88
197	76
198	91
199	78
200	75
201	61
202	56
203	60
204	63
205	67
206	52
207	53
208	52
209	39
210	43
211	43
212	39
213	33
214	30
215	29
216	30
217	29
218	28
219	21
220	12
221	22
222	24
223	21
224	15
225	12
226	24
227	12
228	19
229	10
230	11
231	14
232	14
233	13
234	8
235	5
236	3
237	5
238	7
239	8
240	8
241	10
242	18
243	14
244	11
245	11
246	7
247	5
248	9
249	6
250	15
251	12
252	9
253	7
254	8
255	10
256	14
257	13
258	4
259	8
260	12
261	8
262	7
263	13
264	10
265	17
266	11
267	10
268	13
269	8
270	12
271	15
272	18
273	10
274	11
275	10
276	16
277	11
278	9
279	11
280	9
281	17
282	13
283	12
284	22
285	18
286	9
287	19
288	19
289	16
290	10
291	14
292	24
293	18
294	27
295	17
296	24
297	28
298	19
299	16
300	19
301	25
302	22
303	20
304	22
305	19
306	32
307	18
308	23
309	27
310	25
311	31
312	25
313	24
314	30
315	42
316	16
317	45
318	39
319	28
320	25
321	36
322	41
323	42
324	28
325	19
326	28
327	34
328	30
329	36
330	27
331	41
332	36
333	46
334	49
335	54
336	40
337	38
338	45
339	36
340	41
341	37
342	29
343	36
344	50
345	48
346	50
347	50
348	59
349	45
350	49
351	41
352	40
353	40
354	34
355	52
356	34
357	45
358	53
359	42
360	46
361	48
362	36
363	46
364	52
365	39
366	50
367	50
368	40
369	42
370	32
371	43
372	40
373	39
374	46
375	44
376	39
377	37
378	37
379	34
380	32
381	44
382	34
383	30
384	36
385	20
386	25
387	35
388	24
389	25
390	45
391	36
392	26
393	20
394	29
395	37
396	19
397	19
398	23
399	26
400	25
401	26
402	20
403	27
404	19
405	21
406	21
407	23
408	16
409	19
410	18
411	18
412	16
413	13
414	11
415	7
416	19
417	22
418	11
419	16
420	17
421	14
422	8
423	11
424	8
425	11
426	8
427	5
428	9
429	8
430	8
431	7
432	6
433	9
434	8
435	3
436	5
437	5
438	10
439	2
440	6
441	9
442	5
443	7
444	5
445	2
446	3
447	10
449	1
450	5
451	3
452	5
453	2
454	9
455	5
456	2
457	1
458	2
459	2
460	3
461	3
462	3
464	2
465	2
466	1
467	5
468	2
470	1
471	5
472	1
473	4
474	5
475	1
476	3
477	4
478	3
479	1
480	1
481	1
483	1
485	1
486	1
489	1
490	2
493	1
494	1
496	1
498	1
499	5

