## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.gc_bias_metrics.pdf SUMMARY_OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.summary_metrics.txt INPUT=./testdata/out/mdup/ERR1429171-chr16.sorted.mdup.bam OUTPUT=./testdata/out/metrics/CollectGCBiasMetrics/ERR1429171-chr16.sorted.mdup.gc_bias_metrics.txt REFERENCE_SEQUENCE=./testdata/chr16-ref/GRCh38-chr16.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Feb 03 17:38:09 PST 2020

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	4955	0	0	0	0			
All Reads	ALL	1	2927	0	0	0	0			
All Reads	ALL	2	2744	0	0	0	0			
All Reads	ALL	3	2863	0	0	0	0			
All Reads	ALL	4	3311	0	0	0	0			
All Reads	ALL	5	3783	0	0	0	0			
All Reads	ALL	6	4380	0	0	0	0			
All Reads	ALL	7	4552	0	0	0	0			
All Reads	ALL	8	5438	0	0	0	0			
All Reads	ALL	9	7056	0	0	0	0			
All Reads	ALL	10	7335	0	0	0	0			
All Reads	ALL	11	8188	0	0	0	0			
All Reads	ALL	12	10229	0	0	0	0			
All Reads	ALL	13	12106	0	0	0	0			
All Reads	ALL	14	15755	1	6	0.032479	0.032479			
All Reads	ALL	15	20904	1	12	0.024479	0.024479			
All Reads	ALL	16	29368	0	0	0	0			
All Reads	ALL	17	42411	2	0	0.024131	0.017063			
All Reads	ALL	18	61969	10	0	0.082574	0.026112			
All Reads	ALL	19	90103	1	0	0.005679	0.005679			
All Reads	ALL	20	128450	0	0	0	0			
All Reads	ALL	21	180843	1	0	0.00283	0.00283			
All Reads	ALL	22	250274	7	16	0.014312	0.005409			
All Reads	ALL	23	341099	6	28	0.009001	0.003675			
All Reads	ALL	24	451422	13	17	0.014736	0.004087			
All Reads	ALL	25	579887	24	24	0.021178	0.004323			
All Reads	ALL	26	719109	43	22	0.030598	0.004666			
All Reads	ALL	27	869882	73	27	0.042942	0.005026			
All Reads	ALL	28	1033651	144	24	0.071286	0.005941			
